0	179	0
1	141	0
2	180	0
3	144	0
4	178	0
5	127	0
6	128	0
7	39	0
8	40	0
9	121	0
10	117	1
11	49	1
12	47	1
13	116	1
14	109	1
15	213	0
16	212	0
17	211	0
18	210	0
19	209	0
20	185	1
21	184	1
22	183	1
23	72	1
24	216	1
25	75	0
26	228	0
27	35	0
28	205	0
29	16	0
30	187	1
31	71	1
32	51	1
33	36	1
34	223	1
35	114	0
36	118	0
37	48	0
38	108	0
39	119	0
40	111	1
41	107	1
42	106	1
43	115	1
44	105	1
45	123	1
46	50	1
47	125	1
48	126	1
49	129	1
50	173	1
51	172	1
52	168	1
53	170	1
54	176	1
55	59	1
56	171	1
57	61	1
58	166	0
59	169	0
60	56	0
61	60	0
62	34	1
63	33	1
64	57	1
65	24	1
66	159	1
67	153	1
68	156	1
69	152	1
70	182	1
71	158	1
72	157	1
73	136	0
74	150	0
75	151	0
76	134	0
77	135	0
78	149	0
79	58	0
80	238	0
81	155	0
82	88	1
83	73	1
84	222	1
85	220	1
86	81	1
87	85	1
88	79	1
89	206	1
90	204	1
91	200	1
92	18	0
93	132	0
94	133	0
95	162	0
96	143	0
97	131	0
98	146	0
99	147	0
100	44	0
101	160	0
102	19	1
103	202	1
104	199	1
105	197	1
106	207	1
107	203	1
108	45	1
109	198	1
110	174	1
111	148	1
112	163	1
113	164	1
114	165	1
115	55	1
116	193	0
117	42	0
118	138	0
119	130	1
120	77	0
121	78	0
122	98	1
123	97	1
124	87	1
125	95	1
126	94	1
127	93	1
128	86	0
129	83	0
130	84	0
131	104	1
132	103	1
133	102	1
134	101	1
135	100	1
136	99	1
137	90	0
138	91	0
145	82	0
