Error: Unsupported GDML Tag Used :gdml_simple_extension. Please Check Geometry/Schema.
Using default pedestal values
begin loading voxelized TH3s...
...finished loading TH3s
218 -213.4 -95 348.242 
219 213.4 -95 348.242 
220 -213.4 -40 348.242 
221 213.4 -40 348.242 
222 -213.4 40 348.242 
223 213.4 40 348.242 
224 -213.4 95 348.242 
225 213.4 95 348.242 
226 -213.4 175 348.242 
227 213.4 175 348.242 
228 -213.75 -135 355.862 
229 213.75 -135 355.862 
230 -213.75 0 355.862 
231 213.75 0 355.862 
232 -213.75 135 355.862 
233 213.75 135 355.862 
234 -213.75 -135 413.906 
235 213.75 -135 413.906 
236 -213.75 0 413.906 
237 213.75 0 413.906 
238 -213.75 135 413.906 
239 213.75 135 413.906 
240 -213.4 -175 421.526 
241 213.4 -175 421.526 
242 -213.4 -95 421.526 
243 213.4 -95 421.526 
244 -213.4 -40 421.526 
245 213.4 -40 421.526 
246 -213.4 40 421.526 
247 213.4 40 421.526 
248 -213.4 95 421.526 
249 213.4 95 421.526 
250 -213.4 175 421.526 
251 213.4 175 421.526 
252 -213.75 -135 429.146 
253 213.75 -135 429.146 
254 -213.75 0 429.146 
255 213.75 0 429.146 
256 -213.75 135 429.146 
257 213.75 135 429.146 
258 -213.75 -175 443.906 
259 213.75 -175 443.906 
260 -213.75 -95 443.906 
261 213.75 -95 443.906 
262 -213.75 -40 443.906 
263 213.75 -40 443.906 
264 -213.75 40 443.906 
265 213.75 40 443.906 
266 -213.75 95 443.906 
267 213.75 95 443.906 
268 -213.75 175 443.906 
269 213.75 175 443.906 
270 -213.4 -135 451.526 
271 213.4 -135 451.526 
272 -213.4 0 451.526 
273 213.4 0 451.526 
274 -213.4 135 451.526 
275 213.4 135 451.526 
276 -213.75 -175 459.146 
277 213.75 -175 459.146 
278 -213.75 -95 459.146 
279 213.75 -95 459.146 
280 -213.75 -40 459.146 
281 213.75 -40 459.146 
282 -213.75 40 459.146 
283 213.75 40 459.146 
284 -213.75 95 459.146 
285 213.75 95 459.146 
286 -213.75 175 459.146 
287 213.75 175 459.146 
288 -213.75 -135 473.906 
289 213.75 -135 473.906 
290 -213.75 0 473.906 
291 213.75 0 473.906 
292 -213.75 135 473.906 
293 213.75 135 473.906 
294 -213.4 -175 481.526 
295 213.4 -175 481.526 
296 -213.4 -95 481.526 
297 213.4 -95 481.526 
298 -213.4 -40 481.526 
299 213.4 -40 481.526 
300 -213.4 40 481.526 
301 213.4 40 481.526 
302 -213.4 95 481.526 
303 213.4 95 481.526 
304 -213.4 175 481.526 
305 213.4 175 481.526 
306 -213.75 -135 489.146 
307 213.75 -135 489.146 
308 -213.75 0 489.146 
309 213.75 0 489.146 
310 -213.75 135 489.146 
311 213.75 135 489.146 
27-Jun-2025 05:44:51 CDT  Initiating request to open input file "/pnfs/sbnd/scratch/users/acastill/v10_06_00/BNBTiming_CosmicCorrection/BNBTimingWithTPCReco2/21668754_0/decoded-raw_filtered_data_EventBuilder3_p2_art1_run18255_17_strmBNBLight_20250217T061217-0a887dbe-d757-44f2-9e52-cb376a729627_wfalign_Reco1-20250625T073344_Reco2-20250625T175723.root"
27-Jun-2025 05:44:56 CDT  Opened input file "/pnfs/sbnd/scratch/users/acastill/v10_06_00/BNBTiming_CosmicCorrection/BNBTimingWithTPCReco2/21668754_0/decoded-raw_filtered_data_EventBuilder3_p2_art1_run18255_17_strmBNBLight_20250217T061217-0a887dbe-d757-44f2-9e52-cb376a729627_wfalign_Reco1-20250625T073344_Reco2-20250625T175723.root"
 Slice with ID 0 is being processed.
 The size of the OpT0 vector is 1 and the one with the highest score is 0
 The size of the assns is 2
 the number of flashes associated to this opT0 object is 1
 Flash 0 has time -0.845593 and PE 7390.08 with opt0 score 7.29984
      ** Creating hit-space point map
 Adding SpacePoint at (-119.033, 199.566, 278.49) with integral 1361.11
 Adding SpacePoint at (-118.668, 199.064, 278.631) with integral 99.148
 Adding SpacePoint at (-119.654, 196.92, 279.245) with integral 797.536
 Adding SpacePoint at (-119.849, 195.762, 279.6) with integral 889.835
 Adding SpacePoint at (-120.023, 194.552, 279.987) with integral 930.493
 Adding SpacePoint at (-120.173, 193.487, 280.312) with integral 992.861
 Adding SpacePoint at (-120.309, 192.526, 280.604) with integral 915.902
 Adding SpacePoint at (-120.43, 191.556, 280.894) with integral 1019.35
 Adding SpacePoint at (-120.545, 190.368, 281.231) with integral 1283.5
 Adding SpacePoint at (-120.624, 189.463, 281.486) with integral 1235.49
 Adding SpacePoint at (-120.727, 188.17, 281.845) with integral 988.153
 Adding SpacePoint at (-120.81, 187.044, 282.166) with integral 1119.58
 Adding SpacePoint at (-120.883, 185.936, 282.48) with integral 1127.6
 Adding SpacePoint at (-120.97, 184.533, 282.859) with integral 1206.6
 Adding SpacePoint at (-121.043, 183.233, 283.169) with integral 1105.61
 Adding SpacePoint at (-121.111, 181.972, 283.439) with integral 1112.25
 Adding SpacePoint at (-121.161, 180.983, 283.621) with integral 1263.74
 Adding SpacePoint at (-121.225, 179.665, 283.838) with integral 1822.43
 Adding SpacePoint at (-121.255, 179.011, 283.949) with integral 1641.69
 Adding SpacePoint at (-121.306, 177.915, 284.14) with integral 1578.95
 Adding SpacePoint at (-121.385, 176.09, 284.496) with integral 1230.89
 Adding SpacePoint at (-121.443, 174.67, 284.803) with integral 1187.79
 Adding SpacePoint at (-121.5, 173.321, 285.105) with integral 1219.3
 Adding SpacePoint at (-121.557, 171.967, 285.404) with integral 1428.18
 Adding SpacePoint at (-121.607, 170.747, 285.659) with integral 1437.56
 Adding SpacePoint at (-121.665, 169.274, 285.97) with integral 1143.69
 Adding SpacePoint at (-121.722, 167.74, 286.292) with integral 1199.13
 Adding SpacePoint at (-121.759, 166.775, 286.505) with integral 1291.9
 Adding SpacePoint at (-121.806, 165.563, 286.78) with integral 1377.27
 Adding SpacePoint at (-121.851, 164.536, 287.053) with integral 1342.11
 Adding SpacePoint at (-121.903, 163.203, 287.41) with integral 1312.39
 Adding SpacePoint at (-121.957, 161.738, 287.807) with integral 1408.09
 Adding SpacePoint at (-122, 160.467, 288.158) with integral 1462.75
 Adding SpacePoint at (-122.04, 159.371, 288.467) with integral 1350.84
 Adding SpacePoint at (-122.106, 157.609, 288.865) with integral 1342.62
 Adding SpacePoint at (-122.145, 156.572, 289.096) with integral 1523.43
 Adding SpacePoint at (-122.175, 155.744, 289.28) with integral 1442.22
 Adding SpacePoint at (-122.22, 154.628, 289.562) with integral 1441.86
 Adding SpacePoint at (-122.276, 153.071, 289.92) with integral 1403.8
 Adding SpacePoint at (-122.329, 151.173, 290.368) with integral 1452.87
 Adding SpacePoint at (-122.414, 148.501, 290.856) with integral 2055.1
 Adding SpacePoint at (-122.458, 147.028, 291.082) with integral 1483.15
 Adding SpacePoint at (-122.471, 146.506, 291.171) with integral 1498.11
 Adding SpacePoint at (-122.487, 146.061, 291.222) with integral 2328.69
 Adding SpacePoint at (-122.491, 145.75, 291.294) with integral 1433.14
 Adding SpacePoint at (-122.545, 143.861, 291.603) with integral 1226.28
 Adding SpacePoint at (-122.59, 142.106, 291.959) with integral 1259.11
 Adding SpacePoint at (-122.63, 140.715, 292.254) with integral 1531.35
 Adding SpacePoint at (-122.654, 139.856, 292.449) with integral 1323.62
 Adding SpacePoint at (-122.693, 138.705, 292.698) with integral 1180.07
 Adding SpacePoint at (-122.747, 137.127, 293.071) with integral 1119.06
 Adding SpacePoint at (-122.796, 135.72, 293.388) with integral 1170.1
 Adding SpacePoint at (-122.865, 133.966, 293.788) with integral 1228.45
 Adding SpacePoint at (-122.909, 132.885, 294.048) with integral 1295.85
 Adding SpacePoint at (-122.954, 131.835, 294.295) with integral 1251.11
 Adding SpacePoint at (-123.005, 130.661, 294.603) with integral 1631.03
 Adding SpacePoint at (-123.08, 129.021, 295.035) with integral 1833.91
 Adding SpacePoint at (-123.123, 128.047, 295.293) with integral 1476.2
 Adding SpacePoint at (-123.19, 126.541, 295.68) with integral 1302.67
 Adding SpacePoint at (-123.248, 125.196, 296.005) with integral 1234.4
 Adding SpacePoint at (-123.31, 123.749, 296.342) with integral 1256.82
 Adding SpacePoint at (-123.362, 122.459, 296.634) with integral 1247.89
 Adding SpacePoint at (-123.405, 121.311, 296.888) with integral 1307.28
 Adding SpacePoint at (-123.458, 119.866, 297.201) with integral 1710.57
 Adding SpacePoint at (-123.485, 119.099, 297.371) with integral 1229.07
 Adding SpacePoint at (-123.521, 118.027, 297.605) with integral 1137.61
 Adding SpacePoint at (-123.56, 116.837, 297.86) with integral 1187.06
 Adding SpacePoint at (-123.583, 116.094, 298.018) with integral 1419.92
 Adding SpacePoint at (-123.616, 115.099, 298.228) with integral 1406.41
 Adding SpacePoint at (-123.649, 114.127, 298.425) with integral 1200.17
 Adding SpacePoint at (-123.682, 113.264, 298.605) with integral 1152.86
 Adding SpacePoint at (-123.73, 112.109, 298.85) with integral 1125.28
 Adding SpacePoint at (-123.787, 110.883, 299.119) with integral 1230.93
 Adding SpacePoint at (-123.852, 109.656, 299.415) with integral 1301.16
 Adding SpacePoint at (-123.95, 107.988, 299.85) with integral 1723.82
 Adding SpacePoint at (-124.021, 106.861, 300.167) with integral 1534.6
 Adding SpacePoint at (-124.109, 105.583, 300.535) with integral 1207.6
 Adding SpacePoint at (-124.222, 104.061, 300.976) with integral 1246.45
 Adding SpacePoint at (-124.318, 102.817, 301.333) with integral 1294.95
 Adding SpacePoint at (-124.413, 101.628, 301.669) with integral 1240.54
 Adding SpacePoint at (-124.509, 100.458, 301.996) with integral 1257.19
 Adding SpacePoint at (-124.614, 99.1949, 302.347) with integral 1258.7
 Adding SpacePoint at (-124.707, 98.0441, 302.667) with integral 1314.08
 Adding SpacePoint at (-124.803, 96.853, 302.994) with integral 1286.33
 Adding SpacePoint at (-124.917, 95.4485, 303.377) with integral 1357.5
 Adding SpacePoint at (-125.053, 93.7949, 303.825) with integral 1747.92
 Adding SpacePoint at (-125.122, 92.9261, 304.062) with integral 1469.04
 Adding SpacePoint at (-125.243, 91.4413, 304.456) with integral 1682.85
 Adding SpacePoint at (-125.324, 90.4379, 304.722) with integral 1817.66
 Adding SpacePoint at (-125.425, 89.1878, 305.05) with integral 1399.26
 Adding SpacePoint at (-125.535, 87.8646, 305.394) with integral 1264.33
 Adding SpacePoint at (-125.632, 86.6688, 305.706) with integral 1315.42
 Adding SpacePoint at (-125.72, 85.6105, 305.983) with integral 1169
 Adding SpacePoint at (-125.816, 84.4203, 306.293) with integral 1215.97
 Adding SpacePoint at (-125.904, 83.279, 306.589) with integral 1157.91
 Adding SpacePoint at (-125.992, 82.1537, 306.884) with integral 1137.14
 Adding SpacePoint at (-126.091, 80.7811, 307.243) with integral 1169.04
 Adding SpacePoint at (-126.184, 79.5627, 307.562) with integral 1375.7
 Adding SpacePoint at (-126.254, 78.6282, 307.808) with integral 1261.31
 Adding SpacePoint at (-126.334, 77.552, 308.09) with integral 1233.28
 Adding SpacePoint at (-126.427, 76.2752, 308.418) with integral 1916.92
 Adding SpacePoint at (-126.438, 76.069, 308.477) with integral 2059.45
 Adding SpacePoint at (-126.543, 74.6164, 308.844) with integral 1281.71
 Adding SpacePoint at (-126.64, 73.2131, 309.197) with integral 1191.04
 Adding SpacePoint at (-126.715, 72.0899, 309.478) with integral 1131.03
 Adding SpacePoint at (-126.799, 70.8754, 309.789) with integral 1234.92
 Adding SpacePoint at (-126.865, 69.917, 310.042) with integral 1257.21
 Adding SpacePoint at (-126.939, 68.8993, 310.319) with integral 1222.7
 Adding SpacePoint at (-127.004, 68.0448, 310.564) with integral 1205.23
 Adding SpacePoint at (-127.092, 66.823, 310.93) with integral 1136.69
 Adding SpacePoint at (-127.182, 65.6764, 311.285) with integral 1249.87
 Adding SpacePoint at (-127.271, 64.5813, 311.628) with integral 1148.26
 Adding SpacePoint at (-127.354, 63.5682, 311.946) with integral 1156.79
 Adding SpacePoint at (-127.435, 62.5216, 312.276) with integral 1435.89
 Adding SpacePoint at (-127.494, 61.8129, 312.499) with integral 1540.41
 Adding SpacePoint at (-127.619, 60.4058, 312.922) with integral 1215.3
 Adding SpacePoint at (-127.669, 59.8139, 313.104) with integral 1917.42
 Adding SpacePoint at (-127.786, 58.5519, 313.474) with integral 1638.79
 Adding SpacePoint at (-127.896, 57.3645, 313.82) with integral 1304.44
 Adding SpacePoint at (-127.998, 56.2711, 314.138) with integral 1116.21
 Adding SpacePoint at (-128.112, 55.0925, 314.484) with integral 1120.11
 Adding SpacePoint at (-128.212, 53.9912, 314.816) with integral 1085.85
 Adding SpacePoint at (-128.319, 52.862, 315.165) with integral 973.771
 Adding SpacePoint at (-128.44, 51.5791, 315.572) with integral 1190.79
 Adding SpacePoint at (-128.519, 50.7464, 315.841) with integral 1148.86
 Adding SpacePoint at (-128.603, 49.7943, 316.146) with integral 1044.98
 Adding SpacePoint at (-128.682, 48.8665, 316.443) with integral 924.599
 Adding SpacePoint at (-128.764, 47.8602, 316.76) with integral 981.702
 Adding SpacePoint at (-128.841, 46.832, 317.078) with integral 1069.83
 Adding SpacePoint at (-128.904, 45.9669, 317.344) with integral 979.459
 Adding SpacePoint at (-128.984, 44.8819, 317.671) with integral 927.638
 Adding SpacePoint at (-129.056, 43.8427, 317.981) with integral 992.38
 Adding SpacePoint at (-129.131, 42.7335, 318.31) with integral 1124.8
 Adding SpacePoint at (-129.173, 42.0794, 318.507) with integral 1075.88
 Adding SpacePoint at (-129.233, 41.1343, 318.786) with integral 1131.61
 Adding SpacePoint at (-129.282, 40.3418, 319.022) with integral 932.509
 Adding SpacePoint at (-129.341, 39.3919, 319.306) with integral 927.824
 Adding SpacePoint at (-129.399, 38.4768, 319.578) with integral 966.003
 Adding SpacePoint at (-129.439, 37.8281, 319.776) with integral 1135.94
 Adding SpacePoint at (-129.481, 37.1554, 319.982) with integral 1002.22
 Adding SpacePoint at (-129.527, 36.4449, 320.201) with integral 928.062
 Adding SpacePoint at (-129.572, 35.7799, 320.409) with integral 820.546
 Adding SpacePoint at (-129.632, 34.887, 320.687) with integral 759.857
 Adding SpacePoint at (-129.689, 34.1328, 320.925) with integral 761.37
 Adding SpacePoint at (-129.754, 33.2142, 321.217) with integral 824.516
 Adding SpacePoint at (-129.822, 32.2746, 321.523) with integral 874.068
 Adding SpacePoint at (-129.888, 31.4193, 321.805) with integral 822.602
 Adding SpacePoint at (-129.985, 30.2121, 322.209) with integral 931.836
 Adding SpacePoint at (-130.065, 29.2935, 322.524) with integral 1227.75
 Adding SpacePoint at (-130.175, 28.1065, 322.932) with integral 1767.87
 Adding SpacePoint at (-130.168, 28.1272, 322.933) with integral 986.385
 Adding SpacePoint at (-130.262, 27.1402, 323.28) with integral 974.894
 Adding SpacePoint at (-130.294, 26.7657, 323.415) with integral 1721.36
 Adding SpacePoint at (-130.451, 25.2061, 323.967) with integral 1194.61
 Adding SpacePoint at (-130.518, 24.5117, 324.219) with integral 1177.31
 Adding SpacePoint at (-130.632, 23.4115, 324.615) with integral 1129
 Adding SpacePoint at (-130.718, 22.553, 324.928) with integral 933.663
 Adding SpacePoint at (-130.836, 21.4289, 325.336) with integral 1039.44
 Adding SpacePoint at (-130.913, 20.7042, 325.605) with integral 1099.96
 Adding SpacePoint at (-130.986, 20.0131, 325.861) with integral 1016.93
 Adding SpacePoint at (-131.078, 19.2123, 326.153) with integral 1120.89
 Adding SpacePoint at (-131.162, 18.4358, 326.439) with integral 1033.88
 Adding SpacePoint at (-131.256, 17.6078, 326.744) with integral 992.364
 Adding SpacePoint at (-131.354, 16.7622, 327.058) with integral 866.968
 Adding SpacePoint at (-131.459, 15.8753, 327.389) with integral 898.198
 Adding SpacePoint at (-131.559, 15.0452, 327.699) with integral 1057.78
 Adding SpacePoint at (-131.648, 14.3263, 327.969) with integral 1306.61
 Adding SpacePoint at (-131.741, 13.5831, 328.248) with integral 920.629
 Adding SpacePoint at (-131.869, 12.6119, 328.61) with integral 880.668
 Adding SpacePoint at (-131.975, 11.8104, 328.91) with integral 810.171
 Adding SpacePoint at (-132.099, 10.9142, 329.245) with integral 799.063
 Adding SpacePoint at (-132.219, 10.0296, 329.576) with integral 836.839
 Adding SpacePoint at (-132.338, 9.17451, 329.894) with integral 791.783
 Adding SpacePoint at (-132.452, 8.36016, 330.198) with integral 776.358
 Adding SpacePoint at (-132.579, 7.45788, 330.535) with integral 806.872
 Adding SpacePoint at (-132.708, 6.55414, 330.871) with integral 796.137
 Adding SpacePoint at (-132.832, 5.66746, 331.202) with integral 760.484
 Adding SpacePoint at (-132.952, 4.80174, 331.527) with integral 913.246
 Adding SpacePoint at (-133.046, 4.11866, 331.785) with integral 1231
 Adding SpacePoint at (-133.285, 2.39886, 332.431) with integral 952.415
 Adding SpacePoint at (-133.358, 1.8511, 332.64) with integral 961.598
 Adding SpacePoint at (-133.451, 1.17618, 332.896) with integral 957.573
 Adding SpacePoint at (-133.55, 0.460171, 333.167) with integral 941.079
 Adding SpacePoint at (-133.65, -0.268512, 333.444) with integral 887.891
 Adding SpacePoint at (-133.748, -0.976866, 333.714) with integral 859.838
 Adding SpacePoint at (-133.864, -1.79497, 334.024) with integral 836.848
 Adding SpacePoint at (-133.977, -2.58502, 334.326) with integral 898.695
 Adding SpacePoint at (-134.094, -3.40082, 334.638) with integral 867.992
 Adding SpacePoint at (-134.205, -4.16574, 334.932) with integral 845.165
 Adding SpacePoint at (-134.326, -4.97886, 335.244) with integral 1040.8
 Adding SpacePoint at (-134.426, -5.64287, 335.5) with integral 1013.66
 Adding SpacePoint at (-134.551, -6.46839, 335.818) with integral 811.622
 Adding SpacePoint at (-134.695, -7.40904, 336.178) with integral 1086.41
 Adding SpacePoint at (-134.803, -8.09845, 336.445) with integral 1339.78
 Adding SpacePoint at (-134.959, -9.10729, 336.832) with integral 1456.64
 Adding SpacePoint at (-135.082, -9.91677, 337.144) with integral 1127.74
 Adding SpacePoint at (-135.201, -10.7124, 337.452) with integral 876.973
 Adding SpacePoint at (-135.332, -11.5799, 337.786) with integral 856.494
 Adding SpacePoint at (-135.458, -12.4285, 338.113) with integral 864.012
 Adding SpacePoint at (-135.601, -13.3838, 338.479) with integral 1050.92
 Adding SpacePoint at (-135.741, -14.3396, 338.844) with integral 1348.64
 Adding SpacePoint at (-135.778, -14.6335, 338.962) with integral 927.342
 Adding SpacePoint at (-135.884, -15.3727, 339.246) with integral 780.938
 Adding SpacePoint at (-135.993, -16.1427, 339.542) with integral 885.477
 Adding SpacePoint at (-136.087, -16.8116, 339.799) with integral 969.558
 Adding SpacePoint at (-136.177, -17.4634, 340.049) with integral 951.459
 Adding SpacePoint at (-136.31, -18.3879, 340.401) with integral 1010.14
 Adding SpacePoint at (-136.403, -19.0443, 340.652) with integral 944.045
 Adding SpacePoint at (-136.501, -19.7556, 340.924) with integral 1162.48
 Adding SpacePoint at (-136.608, -20.4917, 341.204) with integral 998.313
