16	-0.25
18	4.08
19	2.31
24	-0.24
33	0.36
34	0.01
35	2.63
36	15.85
39	2.85
40	3
42	2.18
44	0
45	3.14
47	0.66
48	0.44
49	1.39
50	1.5
51	17.27
55	0.07
56	5.13
57	0
58	0.34
59	1.03
60	3.88
61	3.73
71	16.48
72	2.09
73	0.34
75	0.27
77	-0.03
78	3.9
79	2.77
81	4.19
82	0
83	3.93
84	0.57
85	4.34
86	1.24
87	0.82
88	-2.65
90	1.24
91	-1.04
93	-2.03
94	0.82
95	0.82
97	0.82
98	-0.41
99	-0.56
100	1.77
101	0
102	0
103	0
104	0
105	-0.82
106	1.81
107	18.16
109	-3.32
111	17.21
114	-1.73
115	1.56
116	0
117	-0.93
118	0
119	-1.91
120	0
121	1.15
123	0.16
125	1.16
126	2.13
127	0.45
128	0.68
129	0.96
130	1.39
131	1.4
132	8.76
133	8.11
134	4.14
135	3.03
136	3.38
138	1.79
141	3.27
143	4.07
144	1.74
145	-0.53
146	2.16
147	2.08
148	4.1
149	0.49
150	2.79
151	4.31
152	1.86
153	0.47
155	0.64
156	0.92
157	2.17
158	1.33
159	0.61
160	0.73
162	5.48
163	4.12
164	5.15
165	2.97
166	2.65
168	2.2
169	4.68
170	2.99
171	2.54
172	-0.17
173	-0.38
174	1.06
176	-0.02
178	0.19
179	1.08
180	3.3
182	0
183	-0.4
184	-1.58
185	-1.35
187	15.98
197	3.84
198	2.02
199	3.88
200	4.89
202	2.78
203	1.25
204	4.94
205	0.22
206	3.63
207	1.08
209	2.2
210	3.13
211	0.53
212	-0.02
213	-1.04
216	1.84
220	2.62
222	1.19
223	-1.35
228	3.02
238	-2.65
